name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,5493,,2269,3002,1,14.85,2,120,,connector,20,"LINESTRING (-111.9391803 33.4250712, -111.9391670 33.4252047)",auto;bike;walk,1,0,,
,5494,,3003,1293,1,50.31,2,120,,connector,20,"LINESTRING (-111.9337252 33.4186400, -111.9334572 33.4182457)",auto;bike;walk,1,0,,
,5495,,1293,3003,1,50.31,2,120,,connector,20,"LINESTRING (-111.9334572 33.4182457, -111.9337252 33.4186400)",auto;bike;walk,1,0,,
,5496,,3004,2449,1,16.36,2,120,,connector,20,"LINESTRING (-111.9331669 33.4186398, -111.9331529 33.4184927)",auto;bike;walk,1,0,,
,5497,,2449,3004,1,16.36,2,120,,connector,20,"LINESTRING (-111.9331529 33.4184927, -111.9331669 33.4186398)",auto;bike;walk,1,0,,
,5498,,3005,1541,1,15.62,2,120,,connector,20,"LINESTRING (-111.9359115 33.4222724, -111.9358961 33.4224127)",auto;bike;walk,1,0,,
,5499,,1541,3005,1,15.62,2,120,,connector,20,"LINESTRING (-111.9358961 33.4224127, -111.9359115 33.4222724)",auto;bike;walk,1,0,,
,5500,,3006,1875,1,16.87,2,120,,connector,20,"LINESTRING (-111.9364424 33.4221657, -111.9365681 33.4220559)",auto;bike;walk,1,0,,
,5501,,1875,3006,1,16.87,2,120,,connector,20,"LINESTRING (-111.9365681 33.4220559, -111.9364424 33.4221657)",auto;bike;walk,1,0,,
,5502,,3007,448,1,32.78,2,120,,connector,20,"LINESTRING (-111.9273532 33.4199921, -111.9275457 33.4202398)",auto;bike;walk,1,0,,
,5503,,448,3007,1,32.78,2,120,,connector,20,"LINESTRING (-111.9275457 33.4202398, -111.9273532 33.4199921)",auto;bike;walk,1,0,,
,5504,,3008,1717,1,701.81,2,120,,connector,20,"LINESTRING (-111.9186286 33.4314190, -111.9261466 33.4320000)",auto;bike;walk,1,0,,
,5505,,1717,3008,1,701.81,2,120,,connector,20,"LINESTRING (-111.9261466 33.4320000, -111.9186286 33.4314190)",auto;bike;walk,1,0,,
,5506,,3009,1828,1,22.39,2,120,,connector,20,"LINESTRING (-111.9367525 33.4259314, -111.9365177 33.4258866)",auto;bike;walk,1,0,,
,5507,,1828,3009,1,22.39,2,120,,connector,20,"LINESTRING (-111.9365177 33.4258866, -111.9367525 33.4259314)",auto;bike;walk,1,0,,
,5508,,3010,2049,1,4.23,2,120,,connector,20,"LINESTRING (-111.9364624 33.4256295, -111.9364550 33.4256671)",auto;bike;walk,1,0,,
,5509,,2049,3010,1,4.23,2,120,,connector,20,"LINESTRING (-111.9364550 33.4256671, -111.9364624 33.4256295)",auto;bike;walk,1,0,,
,5510,,3011,2050,1,7.29,2,120,,connector,20,"LINESTRING (-111.9362882 33.4256278, -111.9362433 33.4256817)",auto;bike;walk,1,0,,
,5511,,2050,3011,1,7.29,2,120,,connector,20,"LINESTRING (-111.9362433 33.4256817, -111.9362882 33.4256278)",auto;bike;walk,1,0,,
,5512,,3012,2044,1,9.06,2,120,,connector,20,"LINESTRING (-111.9360738 33.4256288, -111.9359801 33.4256061)",auto;bike;walk,1,0,,
,5513,,2044,3012,1,9.06,2,120,,connector,20,"LINESTRING (-111.9359801 33.4256061, -111.9360738 33.4256288)",auto;bike;walk,1,0,,
,5514,,3013,2042,1,6.72,2,120,,connector,20,"LINESTRING (-111.9358734 33.4256289, -111.9358085 33.4256556)",auto;bike;walk,1,0,,
,5515,,2042,3013,1,6.72,2,120,,connector,20,"LINESTRING (-111.9358085 33.4256556, -111.9358734 33.4256289)",auto;bike;walk,1,0,,
